Timestamp                   	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
2:11:38.782 PM 4/24/2023 	 0.716784 	 -0.303283 	 296.655456 	 296.272562 	 280.324795 	 296.531700 	 296.429733 	 296.411405
2:11:49.282 PM 4/24/2023 	 -0.322610 	 -0.062733 	 296.660207 	 296.271488 	 280.296319 	 296.497159 	 296.445940 	 296.465207
2:11:59.782 PM 4/24/2023 	 -0.047537 	 -1.601195 	 296.659288 	 296.268576 	 280.264973 	 296.484282 	 296.432122 	 296.429772
2:12:09.782 PM 4/24/2023 	 -0.456912 	 -1.137881 	 296.657908 	 296.268729 	 280.274451 	 296.466648 	 296.424355 	 296.359498
2:12:20.282 PM 4/24/2023 	 0.316279 	 -0.623901 	 296.655609 	 296.266736 	 280.290902 	 296.489111 	 296.435541 	 296.373505
2:12:30.781 PM 4/24/2023 	 -0.720632 	 -1.047660 	 296.654689 	 296.266582 	 280.277821 	 296.466613 	 296.437948 	 296.388603
2:12:40.782 PM 4/24/2023 	 -0.608695 	 -0.439270 	 296.653310 	 296.265816 	 280.271176 	 296.463956 	 296.437641 	 296.468655
2:12:51.282 PM 4/24/2023 	 -0.284744 	 -0.503585 	 296.649784 	 296.263976 	 280.260090 	 296.454193 	 296.425527 	 296.395450
2:13:01.782 PM 4/24/2023 	 -0.570137 	 -1.039091 	 296.646565 	 296.262596 	 280.265308 	 296.435265 	 296.436205 	 296.410828
2:13:12.282 PM 4/24/2023 	 0.180382 	 -0.937947 	 296.641813 	 296.260143 	 280.262252 	 296.439833 	 296.434664 	 296.336907
2:13:22.781 PM 4/24/2023 	 -0.387185 	 -1.539288 	 296.638441 	 296.257384 	 280.224202 	 296.462778 	 296.449620 	 296.306742
2:13:33.282 PM 4/24/2023 	 -0.769961 	 -0.766908 	 296.636755 	 296.257537 	 280.232551 	 296.451101 	 296.454860 	 296.379198
2:13:43.781 PM 4/24/2023 	 -1.348640 	 -0.630999 	 296.633229 	 296.258610 	 280.214021 	 296.435562 	 296.449660 	 296.374937
2:13:54.281 PM 4/24/2023 	 0.062977 	 -0.746694 	 296.628324 	 296.257384 	 280.221696 	 296.432163 	 296.427463 	 296.325475
2:14:04.783 PM 4/24/2023 	 -1.256968 	 -0.829686 	 296.624032 	 296.255697 	 280.208602 	 296.433150 	 296.458996 	 296.338683
2:14:15.282 PM 4/24/2023 	 -0.441312 	 0.045380 	 296.617748 	 296.254931 	 280.209054 	 296.449094 	 296.439696 	 296.356040
2:14:25.781 PM 4/24/2023 	 -0.067559 	 -1.232861 	 296.616981 	 296.254164 	 280.205639 	 296.452846 	 296.440158 	 296.314200
2:14:35.782 PM 4/24/2023 	 -0.172015 	 -0.994246 	 296.617288 	 296.253857 	 280.202874 	 296.452996 	 296.448767 	 296.337382
2:14:45.782 PM 4/24/2023 	 -0.423935 	 -1.269556 	 296.615602 	 296.251711 	 280.193838 	 296.449912 	 296.423126 	 296.355918
2:14:56.281 PM 4/24/2023 	 -0.523235 	 0.409229 	 296.611156 	 296.250025 	 280.206000 	 296.446615 	 296.438626 	 296.317368
2:15:06.282 PM 4/24/2023 	 -0.810039 	 -0.404097 	 296.611156 	 296.247878 	 280.214055 	 296.452042 	 296.450632 	 296.350529
2:15:16.782 PM 4/24/2023 	 -0.327612 	 -0.323060 	 296.609777 	 296.247878 	 280.173404 	 296.440055 	 296.440995 	 296.327258
2:15:27.281 PM 4/24/2023 	 -0.546836 	 -0.760697 	 296.606098 	 296.247572 	 280.185676 	 296.446732 	 296.435454 	 296.290691
2:15:37.282 PM 4/24/2023 	 -0.465885 	 -0.707521 	 296.603646 	 296.245425 	 280.203358 	 296.401300 	 296.435607 	 296.281442
2:15:47.781 PM 4/24/2023 	 0.138621 	 -0.652133 	 296.597974 	 296.244352 	 280.172035 	 296.430745 	 296.435914 	 296.296793
2:15:57.782 PM 4/24/2023 	 0.323439 	 -1.266697 	 296.594602 	 296.244045 	 280.191505 	 296.428393 	 296.451420 	 296.245550
2:16:07.783 PM 4/24/2023 	 -0.920562 	 -1.530240 	 296.592149 	 296.242052 	 280.185525 	 296.451286 	 296.460214 	 296.275503
2:16:18.281 PM 4/24/2023 	 -0.235179 	 -0.243329 	 296.588777 	 296.238066 	 280.185604 	 296.398728 	 296.433975 	 296.341388
2:16:28.281 PM 4/24/2023 	 -0.461585 	 -0.589233 	 296.585865 	 296.235460 	 280.170728 	 296.412095 	 296.453450 	 296.321384
2:16:38.281 PM 4/24/2023 	 -0.834168 	 -0.474205 	 296.584179 	 296.233773 	 280.172238 	 296.409323 	 296.420602 	 296.339764
2:16:48.781 PM 4/24/2023 	 -0.460223 	 -1.270483 	 296.579733 	 296.231934 	 280.179758 	 296.426451 	 296.433500 	 296.258651
2:16:59.281 PM 4/24/2023 	 0.143493 	 -0.866172 	 296.579120 	 296.231474 	 280.160095 	 296.442715 	 296.438016 	 296.335560
2:17:09.281 PM 4/24/2023 	 -0.176347 	 -0.469617 	 296.582339 	 296.231474 	 280.160960 	 296.454359 	 296.453889 	 296.307722
2:17:19.782 PM 4/24/2023 	 -0.347886 	 -2.210171 	 296.582799 	 296.227641 	 280.163206 	 296.453237 	 296.436790 	 296.389794
2:17:30.282 PM 4/24/2023 	 -0.641886 	 -0.911841 	 296.583259 	 296.226108 	 280.168104 	 296.446217 	 296.429770 	 296.280304
2:17:40.782 PM 4/24/2023 	 0.423831 	 -0.023417 	 296.586325 	 296.224421 	 280.167155 	 296.453290 	 296.430733 	 296.297721
2:17:51.281 PM 4/24/2023 	 -0.305143 	 -0.467259 	 296.587857 	 296.219055 	 280.158936 	 296.458044 	 296.451935 	 296.258759
2:18:01.282 PM 4/24/2023 	 -0.207271 	 -0.908784 	 296.589697 	 296.215989 	 280.162077 	 296.482691 	 296.454967 	 296.279185
2:18:11.782 PM 4/24/2023 	 0.581525 	 -1.000031 	 296.588471 	 296.213996 	 280.151206 	 296.434605 	 296.465150 	 296.262577
2:18:22.282 PM 4/24/2023 	 -0.503089 	 -0.644598 	 296.590003 	 296.213689 	 280.153291 	 296.473272 	 296.434268 	 296.419230
2:18:32.782 PM 4/24/2023 	 -0.701966 	 -0.116394 	 296.592456 	 296.213689 	 280.154673 	 296.467086 	 296.469436 	 296.312463
2:18:42.782 PM 4/24/2023 	 0.278805 	 -1.021929 	 296.591689 	 296.212156 	 280.165254 	 296.439707 	 296.429368 	 296.276613
2:18:53.282 PM 4/24/2023 	 -0.698435 	 -0.712377 	 296.592609 	 296.210470 	 280.162230 	 296.441957 	 296.442426 	 296.272752
2:19:03.782 PM 4/24/2023 	 -0.429482 	 -0.853336 	 296.589697 	 296.211083 	 280.140218 	 296.467702 	 296.446086 	 296.275472
2:19:14.282 PM 4/24/2023 	 -0.651864 	 -1.128437 	 296.589084 	 296.211236 	 280.151097 	 296.425571 	 296.450007 	 296.373404
2:19:24.282 PM 4/24/2023 	 -0.242008 	 -0.993525 	 296.587551 	 296.213229 	 280.152671 	 296.434609 	 296.437429 	 296.301129
2:19:34.782 PM 4/24/2023 	 -0.535954 	 -0.041586 	 296.585865 	 296.214303 	 280.159978 	 296.430855 	 296.441663 	 296.296903
2:19:45.282 PM 4/24/2023 	 -0.176667 	 -0.225668 	 296.583872 	 296.215989 	 280.157119 	 296.443603 	 296.445952 	 296.343968
2:19:55.782 PM 4/24/2023 	 -0.733679 	 -1.017544 	 296.581573 	 296.218135 	 280.161454 	 296.429929 	 296.428990 	 296.344862
2:20:06.282 PM 4/24/2023 	 -0.526731 	 -0.374536 	 296.583412 	 296.218442 	 280.165057 	 296.427768 	 296.438577 	 296.431998
2:20:16.282 PM 4/24/2023 	 0.491169 	 -0.601446 	 296.585098 	 296.219209 	 280.158978 	 296.479231 	 296.454796 	 296.333071
2:20:26.782 PM 4/24/2023 	 -0.449516 	 -0.429044 	 296.586631 	 296.220588 	 280.160098 	 296.431910 	 296.411702 	 296.289967
2:20:37.282 PM 4/24/2023 	 -0.429493 	 -1.260797 	 296.583872 	 296.220895 	 280.141361 	 296.418523 	 296.460817 	 296.344735
2:20:47.782 PM 4/24/2023 	 -0.403679 	 -0.177287 	 296.581879 	 296.222428 	 280.149782 	 296.426651 	 296.432290 	 296.368844
2:20:57.782 PM 4/24/2023 	 -0.238819 	 -1.169832 	 296.581573 	 296.223348 	 280.158960 	 296.456658 	 296.442560 	 296.345275
2:21:08.282 PM 4/24/2023 	 -0.335054 	 0.018947 	 296.584179 	 296.226874 	 280.164109 	 296.468676 	 296.426853 	 296.345075
2:21:18.782 PM 4/24/2023 	 -0.201096 	 -1.064530 	 296.588164 	 296.226874 	 280.150352 	 296.484061 	 296.454458 	 296.329443
2:21:29.282 PM 4/24/2023 	 -0.977475 	 -0.608636 	 296.589084 	 296.226261 	 280.142709 	 296.456009 	 296.419354 	 296.335225
2:21:39.282 PM 4/24/2023 	 -0.529713 	 -0.900458 	 296.591996 	 296.227028 	 280.163331 	 296.436910 	 296.445839 	 296.314711
2:21:49.782 PM 4/24/2023 	 0.203559 	 -0.902943 	 296.592149 	 296.229481 	 280.140406 	 296.450496 	 296.439218 	 296.294927
2:22:00.282 PM 4/24/2023 	 -0.593092 	 -1.695973 	 296.595215 	 296.230554 	 280.143175 	 296.449879 	 296.442361 	 296.384086
2:22:10.782 PM 4/24/2023 	 -0.551142 	 -0.355794 	 296.595522 	 296.230094 	 280.170345 	 296.440862 	 296.438042 	 296.362847
2:22:21.282 PM 4/24/2023 	 -0.790996 	 -1.450737 	 296.596288 	 296.233927 	 280.140605 	 296.468545 	 296.466196 	 296.420613
2:22:31.282 PM 4/24/2023 	 0.177844 	 -0.385407 	 296.597208 	 296.234387 	 280.144892 	 296.455297 	 296.454357 	 296.457646
2:22:41.782 PM 4/24/2023 	 -1.029716 	 -0.400085 	 296.597514 	 296.236533 	 280.138278 	 296.471938 	 296.446563 	 296.367609
2:22:52.282 PM 4/24/2023 	 0.022555 	 -1.282479 	 296.596595 	 296.237606 	 280.139699 	 296.459682 	 296.445585 	 296.345010
2:23:02.782 PM 4/24/2023 	 -0.033932 	 -0.521353 	 296.600886 	 296.239753 	 280.138846 	 296.520883 	 296.458859 	 296.405756
2:23:12.782 PM 4/24/2023 	 -1.015328 	 -0.311623 	 296.606098 	 296.239906 	 280.146030 	 296.476601 	 296.441358 	 296.353002
2:23:23.282 PM 4/24/2023 	 -0.970746 	 -0.917462 	 296.606405 	 296.241286 	 280.115645 	 296.467950 	 296.443984 	 296.365030
2:23:33.782 PM 4/24/2023 	 -0.588411 	 -0.267576 	 296.605025 	 296.244352 	 280.143765 	 296.454679 	 296.449979 	 296.369616
2:23:44.282 PM 4/24/2023 	 -0.623633 	 -0.269700 	 296.601959 	 296.248031 	 280.146865 	 296.448742 	 296.445453 	 296.395638
2:23:54.282 PM 4/24/2023 	 -0.217514 	 -1.632021 	 296.599967 	 296.249411 	 280.147421 	 296.438941 	 296.460557 	 296.367976
2:24:04.782 PM 4/24/2023 	 0.999113 	 -0.906326 	 296.596441 	 296.250944 	 280.139862 	 296.449971 	 296.473937 	 296.365378
2:24:15.282 PM 4/24/2023 	 -1.256575 	 -0.438913 	 296.600120 	 296.253397 	 280.161359 	 296.472601 	 296.446286 	 296.462733
2:24:25.782 PM 4/24/2023 	 -0.139692 	 -0.444973 	 296.600886 	 296.256464 	 280.155615 	 296.464237 	 296.449669 	 296.397975
2:24:36.282 PM 4/24/2023 	 -0.965590 	 -1.166869 	 296.599507 	 296.259070 	 280.143354 	 296.464150 	 296.434545 	 296.352769
2:24:46.282 PM 4/24/2023 	 -0.144098 	 -1.176677 	 296.596135 	 296.260450 	 280.171419 	 296.405713 	 296.451767 	 296.313591
2:24:56.782 PM 4/24/2023 	 -0.545370 	 -1.370779 	 296.595368 	 296.260603 	 280.145691 	 296.433042 	 296.461707 	 296.305201
2:25:07.282 PM 4/24/2023 	 -0.211979 	 -0.629312 	 296.593682 	 296.261983 	 280.147226 	 296.439222 	 296.445801 	 296.290701
2:25:17.782 PM 4/24/2023 	 0.257620 	 -0.624632 	 296.592916 	 296.263363 	 280.133455 	 296.447076 	 296.439557 	 296.276463
2:25:27.782 PM 4/24/2023 	 -0.257811 	 -1.602072 	 296.592762 	 296.263976 	 280.135909 	 296.429708 	 296.451325 	 296.291055
2:25:38.282 PM 4/24/2023 	 0.266555 	 -1.132343 	 296.591996 	 296.264743 	 280.140206 	 296.426336 	 296.457822 	 296.298494
2:25:48.782 PM 4/24/2023 	 -0.072014 	 -0.413616 	 296.592456 	 296.265816 	 280.164864 	 296.428522 	 296.462827 	 296.449669
2:25:59.282 PM 4/24/2023 	 -0.114695 	 -1.176872 	 296.590923 	 296.271029 	 280.144578 	 296.404239 	 296.431967 	 296.372751
2:26:09.282 PM 4/24/2023 	 -0.403595 	 -0.251757 	 296.589850 	 296.271029 	 280.121935 	 296.443006 	 296.455694 	 296.330210
2:26:19.782 PM 4/24/2023 	 -0.440638 	 -0.883843 	 296.588011 	 296.272255 	 280.137267 	 296.409401 	 296.424439 	 296.375563
2:26:30.281 PM 4/24/2023 	 -0.531477 	 -0.570086 	 296.588164 	 296.270569 	 280.135913 	 296.431592 	 296.437701 	 296.361096
2:26:40.282 PM 4/24/2023 	 0.094942 	 -0.631338 	 296.587091 	 296.272715 	 280.150186 	 296.428921 	 296.449128 	 296.307191
2:26:50.781 PM 4/24/2023 	 -0.902965 	 -0.496628 	 296.583719 	 296.276241 	 280.137203 	 296.442706 	 296.441296 	 296.325209
2:27:00.782 PM 4/24/2023 	 -0.358803 	 -1.293966 	 296.581879 	 296.277774 	 280.142986 	 296.424321 	 296.451107 	 296.327502
2:27:10.782 PM 4/24/2023 	 0.255678 	 -1.135453 	 296.580040 	 296.280687 	 280.138521 	 296.404973 	 296.449147 	 296.447738
2:27:20.782 PM 4/24/2023 	 -0.965877 	 -0.785053 	 296.578814 	 296.283754 	 280.128647 	 296.413300 	 296.448545 	 296.443376
2:27:31.282 PM 4/24/2023 	 -1.476124 	 -0.993353 	 296.577588 	 296.286513 	 280.112342 	 296.419179 	 296.467112 	 296.405550
2:27:41.282 PM 4/24/2023 	 -0.205486 	 -0.486989 	 296.576208 	 296.288200 	 280.130945 	 296.414577 	 296.454052 	 296.432435
2:27:51.781 PM 4/24/2023 	 -1.131121 	 -1.339356 	 296.574215 	 296.291573 	 280.136300 	 296.423506 	 296.461571 	 296.532522
2:28:02.281 PM 4/24/2023 	 -0.679365 	 -0.827346 	 296.572529 	 296.293566 	 280.130162 	 296.415232 	 296.444838 	 296.453297
2:28:12.781 PM 4/24/2023 	 -0.242879 	 -0.875142 	 296.571916 	 296.296939 	 280.140523 	 296.440741 	 296.455778 	 296.403615
2:28:22.782 PM 4/24/2023 	 -0.498431 	 -0.233734 	 296.569923 	 296.298165 	 280.128925 	 296.433776 	 296.437065 	 296.396649
2:28:33.282 PM 4/24/2023 	 0.288363 	 -0.950097 	 296.568697 	 296.299699 	 280.157191 	 296.421584 	 296.436623 	 296.522613
2:28:43.782 PM 4/24/2023 	 0.145168 	 -1.004075 	 296.569464 	 296.300925 	 280.142996 	 296.423861 	 296.449707 	 296.444068
